Spanish,Alternate,Translation,Column42,Column5,Column6,Column7,POS,Gender,Column10,Chapter Number,Chapter Name
"nuevo, nueva",,new,new,new,,,Adjective,,[sound:spanishdict-6c722451-2147392e-e4457d34-b9897788-22626ada.mp3],20,Adjectives1
"rico, rica",,"<li>rich, wealthy<li>rich, tasty","<li>rich, wealthy<li>rich, tasty","<li>rich, wealthy<li>rich, tasty",,,Adjective,,[sound:spanishdict-981d61a6-6856f115-9057ee06-a7e9aa10-cdac0b10.mp3],20,Adjectives1
"único, única",,unique; only,unique; only,unique; only,,,Adjective,,[sound:spanishdict-95239647-daa8e250-6e32d25c-50300197-967afee4.mp3],20,Adjectives1
"junto, junta",,<li>together<li>next to,<li>together<li>next to,<li>together<li>next to,,,Adjective Preposition,,[sound:spanishdict-81400843-a3a9baa9-2c3a9c19-582e6a9c-1f48e3a0.mp3],20,Adjectives1
fuerte,,strong,strong,strong,,,Adjective,,[sound:spanishdict-d7715d23-f4c38b14-a01fc49e-bdaecbf8-d0bfb268.mp3],20,Adjectives1
menor,,"minor, younger","minor, younger","minor, younger",,,Adjective,,[sound:spanishdict-3e19ec09-189f5c0f-a08362f4-7d259e75-fbc41a71.mp3],20,Adjectives1
"seguro, segura",,"safe, certain","safe, certain","safe, certain",,,Adjective,,[sound:spanishdict-07d9a57e-567e0df1-1c9bbb2f-b2c3d629-80df4261.mp3],20,Adjectives1
inteligente,,intelligent,intelligent,intelligent,,,Adjective,,[sound:spanishdict-08cd93af-88692fe4-b939e7cf-3926c381-5fc20450.mp3],20,Adjectives1
"caro, cara",,expensive,expensive,expensive,,,Adjective,,[sound:spanishdict-7129ae98-020dcc8e-e499a13a-7387cb01-63442c40.mp3],20,Adjectives1
normal,,normal,normal,normal,,,Adjective,,[sound:spanishdict-7972c962-0819d611-77ec4341-32e60312-1d18afb2.mp3],20,Adjectives1
pasado,,past,past,past,,,Noun Adjective,,[sound:spanishdict-b837781c-15f0ba56-3f1af087-f095a7dc-9ea0b8cb.mp3],20,Adjectives1
popular,,popular,popular,popular,,,Adjective,,[sound:spanishdict-8e57837e-39ca6053-c57331cd-bd715052-07c45c4e.mp3],20,Adjectives1
"público, pública",,public,public,public,,,Adjective,,[sound:spanishdict-93aa0483-a1c567bb-46f44682-5ffe60b3-fd70a3e0.mp3],20,Adjectives1
"barato, barata",,"cheap, trashy","cheap, trashy","cheap, trashy",,,Adjective,,[sound:spanishdict-df1027e7-fceb5b4d-ed0997b3-819cdf2b-c35b59eb.mp3],20,Adjectives1
posible,,possible,possible,possible,,,Adjective,,[sound:spanishdict-4044d193-70d89292-bb1c76ee-0fb7d96b-232b0371.mp3],20,Adjectives1
"bonito, bonita",,pretty,pretty,pretty,,,Adjective,,[sound:spanishdict-5e3f718f-b33ba5c0-bf8624c5-1e9a59e5-029feb56.mp3],20,Adjectives1
siguiente,d…,"following, after","following, after","following, after",,,Adjective,,[sound:spanishdict-f22a456a-7e4dfcdb-f2a5e7d1-9d98de4a-811546ce.mp3],20,Adjectives1
el mejor,,the best,the best,the best,,,Adjective,m,[sound:spanishdict-36853bbc-5cfe7cab-3b89304a-80d5d113-b35155c5.mp3],20,Adjectives1
importante,,important,important,important,,,Adjective,,[sound:spanishdict-636207db-b23fd478-7ef4e107-94c7efe7-02bcaf76.mp3],20,Adjectives1
"feo, fea",,ugly,ugly,ugly,,,Adjective,,[sound:spanishdict-da3bce04-eea467a8-aa629ae2-31ba33dd-aeb6648a.mp3],20,Adjectives1
final,último,"final, last","final, last","final, last",,,Adjective,,[sound:spanishdict-4b586df8-d936dc7b-a12bc897-566cf4ab-0cee3294.mp3],20,Adjectives1
diferente,,different,different,different,,,Adjective,,[sound:spanishdict-240175d5-1f17955d-03d6d5b9-d756efef-1d80cfb2.mp3],20,Adjectives1
"positivo, positiva",,positive,positive,positive,,,Adjective,,[sound:spanishdict-ee0d9e10-450072aa-725fa50a-e4fd27dd-af9790fd.mp3],20,Adjectives1
joven,,young,young,young,,,Adjective,,[sound:spanishdict-b02805e8-661d89bd-418d174f-fc5bd1b9-e5fba4ff.mp3],20,Adjectives1
"bueno, buena, buen",,good,good,good,,,Adjective,,[sound:spanishdict-5cafd425-afe34fbc-02c5063f-5d1e73c9-70344fd3.mp3],20,Adjectives1
el peor,,the worst,the worst,the worst,,,Adjective,m,[sound:spanishdict-a620d9fc-9026023a-16c04b9c-92042292-24c48000.mp3],20,Adjectives1
distinto,diferente,"distinct, different","distinct, different","distinct, different",,,Adjective,,[sound:spanishdict-404a874c-07b6750e-b72fc850-fc1279f3-439b43df.mp3],20,Adjectives1
imposible,,impossible,impossible,impossible,,,Adjective,,[sound:spanishdict-ff041f00-e7708d6a-057212d3-cb7c5c4d-da93d1bb.mp3],20,Adjectives1
"tanto, tanta",tan,so; so much; so many,so; so much; so many,so; so much; so many,,,Adjective,,[sound:spanishdict-9376f469-3e2a5c16-f9a173a1-bf0e7d5c-4f4ad093.mp3],20,Adjectives1
útil,,useful,useful,useful,,,Adjective,,[sound:spanishdict-98196074-2c58c425-c1cc0834-2b122dd4-0fb524fa.mp3],20,Adjectives1
capaz,,"able, capable","able, capable","able, capable",,,Adjective,,[sound:spanishdict-48a604e3-744da86a-de9c549d-7292c830-70337405.mp3],20,Adjectives1
suficiente,,"sufficient, enough","sufficient, enough","sufficient, enough",,,Adjective,,[sound:spanishdict-6b038de4-10f3ca2d-a8b7b3c5-dd50065f-6ddc063a.mp3],20,Adjectives1
"plano, plana",,flat,flat,flat,,,Adjective,,[sound:spanishdict-a51df6b0-f7c865fc-a5e7d743-af432966-87e45a7e.mp3],20,Adjectives1
profesional,,professional,professional,professional,,,Adjective,,[sound:spanishdict-b064cb56-cbba25bd-15d78ce3-5f75fce2-8e788dd6.mp3],20,Adjectives1
personal,,personal,personal,personal,,,Adjective,,[sound:spanishdict-a84377c0-e7105f83-d9a193fd-8242a6f9-555d4fdc.mp3],20,Adjectives1
local,,local,local,local,,,Adjective,,[sound:spanishdict-2a8412c8-59f9eddc-b2bc2861-54c66212-be9315c6.mp3],20,Adjectives1
"cierto, cierta",verdadero,"true, certain","true, certain","true, certain",,,Adjective,,[sound:spanishdict-dc7c9624-7c896d95-95b5f3c2-ecb7c5c0-c595ecab.mp3],20,Adjectives1
"propio, propia",,(my) own,(my) own,(my) own,,,Adjective,,[sound:spanishdict-a571ffa3-89687546-e94006d1-a18a4451-d08f59bf.mp3],20,Adjectives1
"justo, justa",,"just, fair","just, fair","just, fair",,,Adjective,,[sound:spanishdict-8eaa1b61-f23ae57c-505ca460-64955bcf-3004df65.mp3],20,Adjectives1
"próximo, próxima",,next,next,next,,,Adjective,,[sound:spanishdict-5831739f-d2ed4147-4e0bb0c2-f79bf2f9-9e1cd478.mp3],20,Adjectives1
estudiar,,to study,to study,to study,,,Verb,,[sound:spanishdict-06d67a92-ab8bf4ee-3c6f4a7e-46483b6f-0961fd25.mp3],21,VerbsPresent2
llevar,,"to wear, to carry","to wear, to carry","to wear, to carry",,,Verb,,[sound:spanishdict-32ac628e-781d6e98-7f6b2537-8d8c3c04-c86b189e.mp3],21,VerbsPresent2
incluir,,"to include, to enclose","to include, to enclose","to include, to enclose",,,Verb,,[sound:spanishdict-6ccd851c-61d9b148-7f5363d7-fce42927-f0174b44.mp3],21,VerbsPresent2
quedar,,"to stay, to remain","to stay, to remain","to stay, to remain",,,Verb,,[sound:spanishdict-7e92a96e-95d0de9f-838974f3-6bb246b2-3baa8f94.mp3],21,VerbsPresent2
requerir,necesitar,to need,to need,to need,,,Verb,,[sound:spanishdict-9c48348d-b4fe9813-c8c1dc5a-2761ff32-21b8ef0c.mp3],21,VerbsPresent2
entrar,,to enter,to enter,to enter,,,Verb,,[sound:spanishdict-006ad12c-8970cd15-2ac437a1-5dfc7767-a66a13b0.mp3],21,VerbsPresent2
aparecer,,to appear,to appear,to appear,,,Verb,,[sound:spanishdict-3b7a5725-2f7c17d9-f913d718-c5ab02ca-184f3d23.mp3],21,VerbsPresent2
conocer,,"to know (be familiar with), to meet","to know (be familiar with), to meet","to know (be familiar with), to meet",,,Verb,,[sound:spanishdict-ad124beb-0346a0c2-7e054267-a5b65630-3a668d82.mp3],21,VerbsPresent2
probar,tratar,"to test, to try (on clothes, food)","to test, to try (on clothes, food)","to test, to try","on clothes, food",,Verb,,[sound:spanishdict-ef0436c9-173bb61c-cefa6c95-f1d34bc1-0bb0eb97.mp3],21,VerbsPresent2
venir,,to come,to come,to come,,,Verb,,[sound:spanishdict-dc300895-4efcd5e9-0698627d-81836d17-17e645a9.mp3],21,VerbsPresent2
acabar,terminar,"to finish; to run out, to end, to complete","to finish; to run out, to end, to complete","to finish; to run out, to end, to complete",,,Verb,,[sound:spanishdict-2f050e22-3cadcede-e533948b-a7ffb0cd-483e6caa.mp3],21,VerbsPresent2
pensar,,to think,to think,to think,,,Verb,,[sound:spanishdict-0de23216-0c56a7a4-2690530c-d0659c14-0a52de73.mp3],21,VerbsPresent2
empezar,comenzar / iniciar,"to begin, to start","to begin, to start","to begin, to start",,,Verb,,[sound:spanishdict-7fa7d99b-acc91b62-be66a22b-257600b8-6aad6295.mp3],21,VerbsPresent2
abrir,,to open,to open,to open,,,Verb,,[sound:spanishdict-c9d7eb9f-3abcd79f-b8f8188c-f15c9a1a-26c5faab.mp3],21,VerbsPresent2
buscar,,"to search, to seek","to search, to seek","to search, to seek",,,Verb,,[sound:spanishdict-16011d46-22e310cd-1aa15f34-b92f4bdd-e44c3e8a.mp3],21,VerbsPresent2
llegar,,to arrive,to arrive,to arrive,,,Verb,,[sound:spanishdict-74eda8df-bfaae8d0-a3655bb1-8df81698-b08c0b8b.mp3],21,VerbsPresent2
caber,,to fit; to squeeze in,to fit; to squeeze in,to fit; to squeeze in,,,Verb,,[sound:spanishdict-99500540-e4bb62a5-38da8da9-c0924a91-b28a5f40.mp3],21,VerbsPresent2
depender,,to depend,to depend,to depend,,,Verb,,[sound:spanishdict-9893cdf3-5cc97cd8-02a20e50-2eb086e3-99f28752.mp3],21,VerbsPresent2
cerrar,,to close,to close,to close,,,Verb,,[sound:spanishdict-414daff8-59e53f4a-18074acd-26e61bc6-f0b53e14.mp3],21,VerbsPresent2
ayudar,,to help,to help,to help,,,Verb,,[sound:spanishdict-d18f770b-8df11f5c-584f32a5-daaf72fd-a8fbb0d4.mp3],21,VerbsPresent2
seguir,c…,"to follow, to continue","to follow, to continue","to follow, to continue",,,Verb,,[sound:spanishdict-66ddac05-9f27d70b-9cae98bd-7d536d41-3a2d1e61.mp3],21,VerbsPresent2
dar,,to give,to give,to give,,,Verb,,[sound:spanishdict-1d28493a-e44680b7-8281c773-e8d10de1-d2553674.mp3],21,VerbsPresent2
soñar,,to dream,to dream,to dream,,,Verb,,[sound:spanishdict-a8ffb258-50d5268c-c199e9ff-76da7c8e-3d94dca1.mp3],21,VerbsPresent2
parecer,,"to look like, to seem","to look like, to seem","to look like, to seem",,,Verb,,[sound:spanishdict-89ee9b37-9d087c44-1cc2e9c4-c6a925a3-ab62f12e.mp3],21,VerbsPresent2
entregar,,to deliver,to deliver,to deliver,,,Verb,,[sound:spanishdict-45d5d768-d225027c-af166e20-8a5cd384-620293db.mp3],21,VerbsPresent2
volver,,to return; to come back,to return; to come back,to return; to come back,,,Verb,,[sound:spanishdict-18f80aba-13923984-98347e07-768409a2-94893071.mp3],21,VerbsPresent2
servir,,to serve,to serve,to serve,,,Verb,,[sound:spanishdict-33e6050e-2910657d-1a68ba89-c72c30c3-abff7a8c.mp3],21,VerbsPresent2
mostrar,,to show,to show,to show,,,Verb,,[sound:spanishdict-c77cf3b3-d1e3e532-04038138-7e03b2ce-a857fdbd.mp3],21,VerbsPresent2
respetar,,to respect,to respect,to respect,,,Verb,,[sound:spanishdict-b051e448-1f3fa71d-25ff44fb-a3d55cee-248e3109.mp3],21,VerbsPresent2
no parece importar,,it doesn't seem to matter,it doesn't seem to matter,it doesn't seem to matter,,,Expression,,[sound:spanishdict-2eda0135-c0a4a182-d7d82a86-83f396e4-e49c4c7c.mp3],21,VerbsPresent2
firmar,,to sign (a document),to sign (a document),to sign,a document,,Verb,,[sound:spanishdict-211bc084-5892bb14-ab26f307-67b504ec-fc778db4.mp3],21,VerbsPresent2
tomar,,<li>to take<li>to have something to eat or to drink,<li>to take<li>to have something to eat or to drink,<li>to take<li>to have something to eat or to drink,,,Verb,,[sound:spanishdict-f4697fb4-d4f9d444-73e43e97-5cf5fbfa-8636076c.mp3],21,VerbsPresent2
aceptar,,to accept,to accept,to accept,,,Verb,,[sound:spanishdict-aa8f59be-90b1a936-d6bd4d81-5ea825be-afe28846.mp3],21,VerbsPresent2
mirar,,"to actively look at, to watch","to actively look at, to watch","to actively look at, to watch",,,Verb,,[sound:spanishdict-95d7e6cd-9a260a1b-7914c2af-5e01b590-1ed5f6ae.mp3],21,VerbsPresent2
pesar,,to weigh,to weigh,to weigh,,,Verb,,[sound:spanishdict-c1ee6def-11d857de-bac800b5-619bfef2-8526c279.mp3],21,VerbsPresent2
decir,,to say,to say,to say,,,Verb,,[sound:spanishdict-5ebb17a8-c841e8e0-5805a7f3-6a5a30bb-de869fb7.mp3],21,VerbsPresent2
recordar,,to remember,to remember,to remember,,,Verb,,[sound:spanishdict-87f2bc83-6ded843d-06bf79a3-ba7f4354-5241cf06.mp3],21,VerbsPresent2
encontrar,,"to find, to encounter","to find, to encounter","to find, to encounter",,,Verb,,[sound:spanishdict-277bb9d2-5dd22ac3-c91a6417-b4ae7498-c008cf99.mp3],21,VerbsPresent2
contar,,to count,to count,to count,,,Verb,,[sound:spanishdict-44fd213b-3946e3e9-8796e26e-193ad23a-74d9df0a.mp3],21,VerbsPresent2
saber,conocer,to know (facts),to know (facts),to know,facts,,Verb,,[sound:spanishdict-f03e823a-13ed90f7-c37f2727-65d8ec41-463412f8.mp3],21,VerbsPresent2
presentar,i…,"to introduce, to present","to introduce, to present","to introduce, to present",,,Verb,,[sound:spanishdict-1d39bc47-8363fcb6-68581c46-5902621a-68e15541.mp3],21,VerbsPresent2
bajar,,"to go down, to lower, to decrease","to go down, to lower, to decrease","to go down, to lower, to decrease",,,Verb,,[sound:spanishdict-4ea3ebf9-71fd7208-44041503-a6bfbaa6-46bf139c.mp3],21,VerbsPresent2
visitar,,to visit,to visit,to visit,,,Verb,,[sound:spanishdict-d3c7c5ac-cf865ac2-86a61dbd-f402fdf4-e58e9b7e.mp3],21,VerbsPresent2
jugar,,"to play, to bet","to play, to bet","to play, to bet",,,Verb,,[sound:spanishdict-c93b8adc-d74a5bd3-5e697ed6-2cc9d48e-125c4dfa.mp3],21,VerbsPresent2
importar,,<li>to matter<li>to import,<li>to matter<li>to import,<li>to matter<li>to import,,,Verb,,[sound:spanishdict-5c30b8e3-28aba780-e6055192-181f04c9-92f8d93c.mp3],21,VerbsPresent2
queda azúcar?,,is there any sugar left?,is there any sugar left?,is there any sugar left?,,,Expression,,[sound:spanishdict-ef3d165a-9335017d-7e313557-2fbfd7b1-8dfcc2fb.mp3],21,VerbsPresent2
comenzar,empezar / iniciar,"to commence, to begin, to start","to commence, to begin, to start","to commence, to begin, to start",,,Verb,,[sound:spanishdict-bc627b29-a2337d9a-d5835506-131bd78a-6110ebc8.mp3],21,VerbsPresent2
culpar,,to blame,to blame,to blame,,,Verb,,[sound:spanishdict-3dc19480-50f06c40-7b69864a-ddb19b62-bdc8828d.mp3],21,VerbsPresent2
"todo, toda",,"all, every","all, every","all, every",,,Adverb,,[sound:spanishdict-7b5c692c-f834a379-048b19d3-47b2b70b-e9b5ace7.mp3],22,Determiners
"ambos, ambas",,both,both,both,,,Adverb,,[sound:spanishdict-9a617027-7748700e-67db3eaf-f011b58e-9729efc6.mp3],22,Determiners
"cualquier, cualquiera",,any,any,any,,,Adverb,,[sound:spanishdict-94172117-81cfed35-dd43fe1f-b414814f-50cb00bc.mp3],22,Determiners
cuanto,,as much as; as many as; how much,as much as; as many as; how much,as much as; as many as; how much,,,Adverb,,[sound:spanishdict-0313ad44-3f396b98-7b99f1b6-7b26a93b-61393377.mp3],22,Determiners
todos los días,,every day,every day,every day,,,Adverb,,[sound:spanishdict-5f8f2b49-65d33545-b243a7ea-9f913839-801a0927.mp3],22,Determiners
cada,,"each, every (time)","each, every (time)","each, every",,time,Adverb,,[sound:spanishdict-0562894d-22654857-e323466f-b17f23cd-4b5531c7.mp3],22,Determiners
"unos, unas",alguno,some,some,some,,,Pronoun,,[sound:spanishdict-fa611068-d9a04425-7dc312b1-52f8d3b2-3a01adf1.mp3],22,Determiners
"otro, otra",,other; another,other; another,other; another,,,Adverb,,[sound:spanishdict-2948e9bc-c3806e28-cb0c6c68-9dc4556a-bed3f8e0.mp3],22,Determiners
"alguno, alguna",u…,"some, any","some, any","some, any",,,Adverb,,[sound:spanishdict-bdd50c43-cb4f733b-7f54fc36-bc4c1979-91073382.mp3],22,Determiners
(un) poco,,"a little, few (amount)","a little, few (amount)","a little, few",,amount,Adverb,,[sound:spanishdict-10dae070-61509851-04d9980b-d2aaa349-93fcd1dc.mp3],22,Determiners
"mucho, mucha, muchos, muchas",,"much, many, a lot","much, many, a lot","much, many, a lot",,,Adverb,,[sound:spanishdict-0cd3b52f-d25da1b5-e65ce758-99b9d751-720ffa76.mp3],22,Determiners
"ninguno, ninguna, ningún",,"none, not any","none, not any","none, not any",,,Adverb,,[sound:spanishdict-4e6a106c-8af6a841-be7be666-55ef186e-74f8e3fa.mp3],22,Determiners
"demasiado, demasiada",,too; too much; too many,too; too much; too many,too; too much; too many,,,Adverb,,[sound:spanishdict-a4c4a9d7-515cf5bc-94fad236-27656151-b3f34420.mp3],23,Adverbs
inmediatamente,,immediately,immediately,immediately,,,Adverb,,[sound:spanishdict-78da085f-37d6d0a2-75aa5209-c4f0fee2-7dc39dde.mp3],23,Adverbs
aquí,,here,here,here,,,Adverb,,[sound:spanishdict-b598e086-f3ce736b-97c79c8e-c1c1e48b-d745a3f4.mp3],23,Adverbs
realmente,m…,really,really,really,,,Adverb,,[sound:spanishdict-083e6303-dd7c7cab-b7bba169-2616e8cc-db3cb854.mp3],23,Adverbs
recientemente,,recently,recently,recently,,,Adverb,,[sound:spanishdict-44a97613-f0c51be4-e95dd035-961bc22e-c2a3290c.mp3],23,Adverbs
relativamente,,relatively,relatively,relatively,,,Adverb,,[sound:spanishdict-46f63c82-09af38ae-fa39f2d3-c56a0eda-c4df85a8.mp3],23,Adverbs
seguramente,,"certainly, surely","certainly, surely","certainly, surely",,,Adverb,,[sound:spanishdict-a608228e-3975de0c-89fa9191-34dc0c9a-51d588e8.mp3],23,Adverbs
casi,,almost,almost,almost,,,Adverb,,[sound:spanishdict-ad393a2e-b86ac350-7ab023d5-088db700-38d2e62d.mp3],23,Adverbs
igualmente,,"equally, likewise","equally, likewise","equally, likewise",,,Adverb,,[sound:spanishdict-7acdcb64-1b4d4657-fee69edc-050756a7-b434bac1.mp3],23,Adverbs
lentamente,d…,slowly,slowly,slowly,,,Adverb,,[sound:spanishdict-30a512cb-c2b57951-469aab1d-d2769e4e-923bc603.mp3],23,Adverbs
rápidamente,,quickly,quickly,quickly,,,Adverb,,[sound:spanishdict-8cf28479-4e268315-1d89dcef-84501a14-ec038240.mp3],23,Adverbs
hasta pronto,te veré,see you soon,see you soon,see you soon,,,Expression,,[sound:spanishdict-e36b34a2-c542f5c1-dbefad40-c2585e71-19faf7c9.mp3],23,Adverbs
qué viene después?,,what comes afterwards?,what comes afterwards?,what comes afterwards?,,,Expression,,[sound:spanishdict-4df27158-135b88d5-ee254c55-249b6390-a8eeb637.mp3],23,Adverbs
completamente,,completely,completely,completely,,,Adverb,,[sound:spanishdict-98aefe07-108e7029-dfe19888-37e2d7f8-e7ad5935.mp3],23,Adverbs
muy,,very,very,very,,,Adverb,,[sound:spanishdict-7a6f211d-2fe0eaa9-6b8e4e75-eb6186ed-ab1c1c86.mp3],23,Adverbs
allí,,there (within visible distance),there (within visible distance),there,,within visible distance,Adverb,,[sound:spanishdict-14023fc5-f0b7c47e-8716e539-7eceb4a6-4b3098d1.mp3],23,Adverbs
adelante,,forward,forward,forward,,,Adverb,,[sound:spanishdict-7f462c29-c00006e5-8a821515-b0c7f266-8222fe76.mp3],23,Adverbs
ya,,"already, by now","already, by now","already, by now",,,Adverb,,[sound:spanishdict-c60bacc7-6aa852bf-d18c499c-5c7f94f7-4ae3a817.mp3],23,Adverbs
totalmente,,totally,totally,totally,,,Adverb,,[sound:spanishdict-9b1cbcb0-689a8d27-e349a5ed-240af7e4-ac5a4bbb.mp3],23,Adverbs
por supuesto,desde luego / naturalmente,of course,of course,of course,,,Expression,,[sound:spanishdict-18e88ac1-5a15d682-b42fce8d-541e7a33-ee45542c.mp3],23,Adverbs
"quizá, quizás",,perhaps,perhaps,perhaps,,,Adverb,,[sound:spanishdict-6a799db5-e0c740ad-d9e01f94-6ee76732-a6355301.mp3],23,Adverbs
luego,más tarde,later,later,later,,,Adverb,,[sound:spanishdict-a520be60-74f2600d-10f594bf-e4f7108d-162da691.mp3],23,Adverbs
"pronto, pronta",,soon,soon,soon,,,Adverb,,[sound:spanishdict-9446e599-186404da-f75315fa-04abe231-551d1fc3.mp3],23,Adverbs
aun,i…,even,even,even,,,CoNounj,,[sound:spanishdict-56a69429-151e2703-eaa8d13f-a143c735-c0888279.mp3],23,Adverbs
perfectamente,,perfectly,perfectly,perfectly,,,Adverb,,[sound:spanishdict-b16d10e6-22507d44-4c76e86d-488fdeaf-28f5b78b.mp3],23,Adverbs
desde luego,por supuesto,of course,of course,of course,,,Adverb,,[sound:spanishdict-d29efcde-0fc0f532-2ee3ff07-32453fb8-2a3d3c86.mp3],23,Adverbs
aún,todavía,"still, yet, even","still, yet, even","still, yet, even",,,Adverb,,[sound:spanishdict-3a923be3-bc0a441b-1e9bf803-f3237e0c-00dc0696.mp3],23,Adverbs
bastante,,"enough, quite","enough, quite","enough, quite",,,Adverb,,[sound:spanishdict-1bd8870f-c7a34663-9ed9c7b6-127662fc-1d43dd20.mp3],23,Adverbs
actualmente,,currently,currently,currently,,,Adverb,,[sound:spanishdict-37b08b32-1d150ab1-3ce5af52-997cfb22-f58eb03f.mp3],23,Adverbs
ahí,,there<br /> (close proximity),there<br /> (close proximity),there<br />,,close proximity,Adverb,,[sound:spanishdict-80028e21-b07198b5-ab09e3eb-6a5ee767-eb2ffcd1.mp3],23,Adverbs
lejos,,far,far,far,,,Adverb,,[sound:spanishdict-d4be9287-636ad1cf-f7903d0e-f0a87a73-7b945d36.mp3],23,Adverbs
probablemente,,probably,probably,probably,,,Adverb,,[sound:spanishdict-d9b58146-fb280fab-932b544e-5a0145a9-95cf88e3.mp3],23,Adverbs
jamás,nunca,never,never,never,,,Adverb,,[sound:spanishdict-40c412c7-c1d2eba3-e4528108-d28d6577-85964ce5.mp3],23,Adverbs
un año después,,a year later,a year later,a year later,,,Expression,,[sound:spanishdict-bddfa48f-1ac4f292-f60d71c9-41895543-d4cab9c6.mp3],23,Adverbs
especialmente,,especially,especially,especially,,,Adverb,,[sound:spanishdict-1f936bd2-0ca7ffd2-21e18f14-1d456087-9d810f05.mp3],23,Adverbs
entonces,,"then, at that time","then, at that time","then, at that time",,,Adverb,,[sound:spanishdict-ea93d709-21d40ed2-45404d0e-c2dfeb8f-0827f250.mp3],23,Adverbs
exactamente,,exactly,exactly,exactly,,,Adverb,,[sound:spanishdict-59935f10-d3b3b691-752376a6-81de961e-a07cf878.mp3],23,Adverbs
alrededor,,around,around,around,,,Adverb,,[sound:spanishdict-02cc7512-90e5c5ac-b0d32ebd-2d8e460b-2d3d5660.mp3],23,Adverbs
y entonces?,,and then?,and then?,and then?,,,Expression,,[sound:spanishdict-2dbaebd5-76058edf-057e6c16-69a51b35-7a2a7f03.mp3],23,Adverbs
ahora,,now,now,now,,,Adverb,,[sound:spanishdict-e14f4f97-c9ede345-a8341839-3005ca05-41496d61.mp3],23,Adverbs
bien,,well; good,well; good,well; good,,,Adverb,,[sound:spanishdict-ba8ec105-bc15fd41-7df28b35-287f4a48-b3988940.mp3],23,Adverbs
absolutamente,,absolutely,absolutely,absolutely,,,Adverb,,[sound:spanishdict-2ff0b3de-7a44c2c6-81c86b70-53d6cd41-be0ae37c.mp3],23,Adverbs
tampoco,tambien,"also, too","also, too","also, too",,,Adverb,,[sound:spanishdict-21a05ce2-0e7a32e6-ccfc828b-d71262a2-6e87032c.mp3],23,Adverbs
menos,,"less, fewer","less, fewer","less, fewer",,,Adjective Adverb,,[sound:spanishdict-1167f7fc-d19b9005-1a8864fe-9ec44d7c-ab848362.mp3],23,Adverbs
principalmente,,"mainly, principally","mainly, principally","mainly, principally",,,Adverb,,[sound:spanishdict-667f3442-513c0c43-f431df5c-531d5c2a-45f92baf.mp3],23,Adverbs
aproximadamente,,approximately,approximately,approximately,,,Adverb,,[sound:spanishdict-83c948a1-cdcee374-05c7323b-bceb235b-fae4f374.mp3],23,Adverbs
dónde,,where,where,where,,,Pronoun,,[sound:spanishdict-4d38c776-3c2438a1-37bbb21a-b4f8db3e-9766b953.mp3],23,Adverbs
anteriormente,,previously,previously,previously,,,Adverb,,[sound:spanishdict-47c7d461-064bde4b-8e241c8e-e78a5188-6529d0c8.mp3],23,Adverbs
así,,like this; like that; thus; so,like this; like that; thus; so,like this; like that; thus; so,,,CoNounj Adverb,,[sound:spanishdict-5c9e64ee-ef4ce352-a11810e2-b754d782-0eb0ffee.mp3],23,Adverbs
todavía,a…,"still, yet","still, yet","still, yet",,,Adverb,,[sound:spanishdict-36953110-87f49cc4-fa1c1bff-06149b5a-c2f15bd9.mp3],23,Adverbs
tan,tanto,so; so much; so many,so; so much; so many,so; so much; so many,,,Adverb,,[sound:spanishdict-c2d43a9c-2e39ee51-b4b871de-8f4751c7-24884615.mp3],23,Adverbs
posiblemente,,possibly,possibly,possibly,,,Adverb,,[sound:spanishdict-abcf11a3-23ebc20c-7317c0f3-e7f61387-251b50ad.mp3],23,Adverbs
después,s…,after,after,after,,,Adverb,,[sound:spanishdict-d5dfbb16-cc7e23b4-274818ba-38e94788-28a507ab.mp3],23,Adverbs
despacio,lentamente,slowly,slowly,slowly,,,Adverb,,[sound:spanishdict-e8e5d0a7-30e654d9-6450eb92-0eb8f86a-0ed3ffc3.mp3],23,Adverbs
más,,more,more,more,,,Adverb,,[sound:spanishdict-d90e551c-7b07975c-8e63a30f-67c56d6f-6bc21f47.mp3],23,Adverbs
prácticamente,,practically,practically,practically,,,Adverb,,[sound:spanishdict-38aca47d-6b29aeb6-6002c084-96c8c5bb-abd5c4d9.mp3],23,Adverbs
únicamente,solamente,"only, solely","only, solely","only, solely",,,Adverb,,[sound:spanishdict-47345d5e-63c8455a-56ac9e6b-4b6b02ae-150a5788.mp3],23,Adverbs
antes,,before,before,before,,,Adverb,,[sound:spanishdict-17e1feb7-87c7b73d-5ef181bc-e59f3ced-7ffe5bd6.mp3],23,Adverbs
generalmente,,generally,generally,generally,,,Adverb,,[sound:spanishdict-b5b99b2b-80909cde-ba531fde-ac3d3627-effbe922.mp3],23,Adverbs
normalmente,,normally,normally,normally,,,Adverb,,[sound:spanishdict-fb7149cc-893acec9-27fcc6b0-a249f254-341a0f06.mp3],23,Adverbs
nuevamente,de nuevo,"newly, again","newly, again","newly, again",,,Adverb,,[sound:spanishdict-f6872ba5-66913313-c9874995-361b5ded-7b27f6db.mp3],23,Adverbs
nunca,jamas,never,never,never,,,Adverb,,[sound:spanishdict-debc4fc7-353f1356-67744f5b-e1eeb0f6-ee249e83.mp3],23,Adverbs
además,,"in addition, besides, furthermore","in addition, besides, furthermore","in addition, besides, furthermore",,,Adverb,,[sound:spanishdict-6830ff91-69231bfd-70c134ee-67c96c47-b083ad93.mp3],23,Adverbs
